
mm/dd,2022:LWG:gaspct (%),2021:LWG:gaspct (%),2020:LWG:gaspct (%),2019:LWG:gaspct (%),2018:LWG:gaspct (%),2017:LWG:gaspct (%),2016:LWG:gaspct (%),2015:LWG:gaspct (%),2014:LWG:gaspct (%),2013:LWG:gaspct (%),2012:LWG:gaspct (%),2011:LWG:gaspct (%),2010:LWG:gaspct (%),2009:LWG:gaspct (%),2008:LWG:gaspct (%),2007:LWG:gaspct (%),2006:LWG:gaspct (%),2005:LWG:gaspct (%),2004:LWG:gaspct (%),2003:LWG:gaspct (%),2002:LWG:gaspct (%),2001:LWG:gaspct (%),2000:LWG:gaspct (%),1999:LWG:gaspct (%),1998:LWG:gaspct (%),2022:LWG:outflow (kcfs),2021:LWG:outflow (kcfs),2020:LWG:outflow (kcfs),2019:LWG:outflow (kcfs),2018:LWG:outflow (kcfs),2017:LWG:outflow (kcfs),2016:LWG:outflow (kcfs),2015:LWG:outflow (kcfs),2014:LWG:outflow (kcfs),2013:LWG:outflow (kcfs),2012:LWG:outflow (kcfs),2011:LWG:outflow (kcfs),2010:LWG:outflow (kcfs),2009:LWG:outflow (kcfs),2008:LWG:outflow (kcfs),2007:LWG:outflow (kcfs),2006:LWG:outflow (kcfs),2005:LWG:outflow (kcfs),2004:LWG:outflow (kcfs),2003:LWG:outflow (kcfs),2002:LWG:outflow (kcfs),2001:LWG:outflow (kcfs),2000:LWG:outflow (kcfs),1999:LWG:outflow (kcfs),1998:LWG:outflow (kcfs),2022:LWG:spillpct (%),2021:LWG:spillpct (%),2020:LWG:spillpct (%),2019:LWG:spillpct (%),2018:LWG:spillpct (%),2017:LWG:spillpct (%),2016:LWG:spillpct (%),2015:LWG:spillpct (%),2014:LWG:spillpct (%),2013:LWG:spillpct (%),2012:LWG:spillpct (%),2011:LWG:spillpct (%),2010:LWG:spillpct (%),2009:LWG:spillpct (%),2008:LWG:spillpct (%),2007:LWG:spillpct (%),2006:LWG:spillpct (%),2005:LWG:spillpct (%),2004:LWG:spillpct (%),2003:LWG:spillpct (%),2002:LWG:spillpct (%),2001:LWG:spillpct (%),2000:LWG:spillpct (%),1999:LWG:spillpct (%),1998:LWG:spillpct (%),2022:LWG:tempc (C),2021:LWG:tempc (C),2020:LWG:tempc (C),2019:LWG:tempc (C),2018:LWG:tempc (C),2017:LWG:tempc (C),2016:LWG:tempc (C),2015:LWG:tempc (C),2014:LWG:tempc (C),2013:LWG:tempc (C),2012:LWG:tempc (C),2011:LWG:tempc (C),2010:LWG:tempc (C),2009:LWG:tempc (C),2008:LWG:tempc (C),2007:LWG:tempc (C),2006:LWG:tempc (C),2005:LWG:tempc (C),2004:LWG:tempc (C),2003:LWG:tempc (C),2002:LWG:tempc (C),2001:LWG:tempc (C),2000:LWG:tempc (C),1999:LWG:tempc (C),1998:LWG:tempc (C)
6/16,108.303,NA,101.847,104.129,103.699,106.973,101.369,100.559,103.019,101.880,103.754,107.741,104.968,104.294,105.101,102.707,102.800,105.939,103.741,104.094,105.272,100.389,103.886,106.621,105.479,151.708,52.038,89.550,82.504,58.242,119.267,53.375,35.504,70.008,45.429,85.800,184.946,131.117,108.617,117.804,45.583,100.525,44.858,61.221,81.350,81.854,38.054,77.567,146.775,116.250,42.615,65.081,64.350,50.280,64.587,25.412,38.423,57.869,28.997,44.896,35.693,40.525,31.505,18.927,31.373,43.556,26.428,0.000,0.000,25.709,23.367,0.000,39.044,35.343,21.217,11.012,NA,14.223,17.020,15.445,13.428,16.776,19.400,13.715,15.681,13.805,12.403,13.900,14.737,12.582,15.066,14.547,15.022,15.051,15.884,14.839,15.190,14.846,14.275,15.654
6/17,107.609,102.399,102.224,103.933,103.234,105.911,100.192,100.260,102.584,101.887,104.756,107.801,103.633,104.498,104.717,102.383,102.758,104.604,104.571,106.389,103.305,99.937,104.958,106.966,105.530,137.113,45.992,89.913,80.458,55.704,123.338,54.529,33.300,72.608,46.538,84.492,173.579,122.513,103.717,130.096,46.192,94.096,45.813,54.900,83.867,94.950,34.300,67.463,155.979,115.696,43.389,63.028,65.466,51.103,71.082,27.820,37.755,61.724,28.113,43.916,47.978,36.614,26.963,19.794,45.226,43.126,21.507,0.000,0.000,24.314,28.607,0.000,42.236,36.670,23.616,11.919,16.851,13.653,17.240,16.064,13.519,16.520,19.151,13.030,15.666,13.957,12.013,13.617,14.858,13.076,15.450,14.725,14.989,15.803,16.968,14.800,14.746,15.882,14.721,15.692
6/18,104.792,101.790,102.526,103.774,102.034,105.788,100.086,101.139,102.569,102.205,104.539,108.478,103.825,104.531,104.183,102.635,103.877,103.772,104.907,105.811,102.920,100.775,104.525,106.753,105.154,129.546,44.446,89.983,76.354,54.329,125.304,49.638,34.367,74.850,48.492,83.167,159.429,113.746,102.163,132.033,40.650,88.488,50.725,53.946,80.133,95.513,33.488,57.296,157.125,98.025,59.091,60.214,64.521,54.330,75.259,29.754,41.232,59.445,27.204,41.786,50.025,31.950,26.821,20.294,51.834,48.729,22.833,0.000,0.000,25.265,41.077,0.000,48.880,37.823,27.644,12.683,16.983,13.164,17.550,16.375,14.165,15.742,19.018,12.774,15.700,14.243,12.147,13.081,15.108,13.480,15.770,14.915,15.173,16.041,16.578,15.000,14.953,15.815,14.138,14.842
6/19,102.993,101.997,103.943,103.352,100.225,107.098,99.858,101.060,102.292,102.843,103.166,107.207,104.812,104.464,104.574,102.519,103.920,103.047,104.704,104.795,102.292,105.659,103.199,106.598,105.374,131.238,37.417,87.829,69.979,62.425,119.967,49.013,33.100,68.833,47.788,94.296,154.263,104.883,102.667,133.221,37.517,79.733,51.933,49.467,74.167,99.463,30.808,62.408,165.800,94.450,56.123,63.486,66.388,59.041,65.472,27.042,41.903,61.531,29.528,42.584,40.718,29.047,19.689,20.170,49.382,52.899,25.444,0.000,0.000,27.542,40.250,0.000,48.504,38.430,28.913,13.001,17.190,13.203,17.800,16.088,14.725,15.347,19.014,12.805,16.205,14.580,12.403,12.539,15.593,13.520,16.243,15.235,15.515,16.137,16.610,14.803,16.196,15.739,13.979,14.738
6/20,102.903,102.262,104.920,103.095,100.855,107.540,100.876,101.325,102.682,102.555,102.135,106.691,105.228,104.220,105.634,101.658,103.325,103.427,106.638,103.297,103.687,109.581,103.330,107.680,106.497,122.108,37.358,85.563,67.438,63.404,120.675,47.083,33.179,66.350,51.554,89.063,161.529,100.342,93.300,130.854,42.942,70.050,55.892,48.558,73.646,90.458,31.267,60.163,162.642,99.538,59.114,61.722,77.906,64.059,65.716,31.320,43.416,61.158,30.897,36.176,23.972,31.865,20.123,22.186,46.091,46.235,29.021,66.002,0.000,17.075,34.123,0.000,31.242,37.549,27.280,12.805,17.419,13.468,17.879,15.675,15.341,15.172,19.345,12.643,16.325,14.528,12.374,12.762,15.528,13.139,16.328,15.788,16.426,16.781,16.760,14.336,16.959,16.176,14.063,15.863
6/21,103.905,103.151,104.656,101.911,101.715,106.562,101.424,101.771,103.568,101.409,103.690,107.403,104.261,103.356,106.027,100.571,102.859,103.909,108.994,101.733,104.746,111.179,104.718,108.217,106.679,119.113,34.904,84.529,64.158,67.258,122.525,45.900,30.975,64.617,58.921,82.496,158.750,106.871,88.596,130.313,37.388,67.496,52.183,46.367,70.817,85.933,27.904,55.242,151.075,92.300,22.360,52.405,39.740,29.101,29.736,28.144,40.741,59.188,31.413,31.674,24.835,30.360,19.872,21.319,45.554,48.657,29.971,46.471,0.000,0.000,22.787,0.000,0.000,32.600,3.474,12.924,18.030,13.947,17.690,15.364,15.840,15.142,19.398,13.119,16.220,13.921,12.428,13.250,15.452,13.144,16.235,16.276,16.587,17.769,16.967,13.697,17.748,16.949,14.063,16.271
6/22,105.606,103.973,103.329,101.054,103.044,105.366,102.337,101.033,104.078,99.973,105.519,108.011,103.146,101.948,104.883,101.908,102.481,102.869,107.507,100.515,106.254,106.540,103.697,107.104,106.774,108.658,35.721,93.267,68.733,67.313,123.346,43.029,30.813,67.917,43.108,81.258,166.763,113.738,88.279,133.533,41.425,64.571,51.125,51.883,55.929,79.779,30.950,53.850,145.258,89.458,18.399,50.974,27.783,26.916,28.425,27.849,43.507,57.890,27.712,42.992,42.103,33.513,22.416,21.221,47.975,43.945,31.064,35.428,0.000,0.000,6.158,0.000,0.000,34.335,0.000,12.936,18.469,14.245,17.240,15.505,16.213,15.482,19.144,13.952,15.886,13.629,12.986,13.502,15.132,13.413,16.514,16.582,16.256,17.701,16.740,14.273,17.113,16.735,14.292,15.917
6/23,106.494,103.046,104.097,100.933,102.970,105.633,104.309,101.008,103.757,100.445,105.159,107.343,104.069,102.048,104.629,102.643,102.644,104.745,106.761,100.433,105.221,105.526,104.630,107.022,105.709,101.958,40.779,94.317,62.538,72.183,116.283,44.833,30.083,66.988,42.596,83.358,180.888,99.058,108.575,139.350,39.963,60.217,50.663,48.304,59.667,86.500,26.350,50.904,134.271,84.667,22.893,44.580,26.387,29.582,26.657,23.814,42.082,57.327,28.040,43.549,41.028,38.447,18.874,17.361,49.982,45.167,30.245,65.252,0.000,0.000,12.336,0.000,0.000,34.225,0.000,13.330,18.849,14.879,16.329,16.023,16.484,16.226,18.959,14.978,15.192,14.318,13.653,13.396,14.678,13.468,17.214,16.968,16.846,17.961,16.430,14.063,17.040,17.063,14.621,15.783
6/24,105.254,102.118,105.468,101.677,102.314,106.386,103.216,101.211,103.013,101.968,103.372,106.660,105.237,103.944,105.011,103.324,102.633,108.244,106.506,100.425,105.173,105.746,105.392,108.127,105.064,101.279,43.942,84.600,56.625,68.046,107.029,39.492,31.933,68.388,41.383,86.475,191.638,93.500,97.667,132.692,35.213,60.992,50.088,54.533,59.029,89.975,20.988,43.829,121.729,85.679,22.347,41.352,32.777,32.627,28.222,18.550,47.120,56.863,27.496,44.593,34.167,41.865,23.676,19.198,48.408,51.509,29.908,75.193,0.000,0.000,28.049,0.000,0.000,36.543,0.000,13.892,19.354,15.615,15.893,16.719,16.530,16.907,18.910,15.241,14.828,15.143,13.570,13.720,14.356,13.708,17.988,17.291,18.295,18.265,16.151,14.341,17.542,17.705,14.571,16.142
6/25,104.305,101.032,104.859,103.113,102.059,107.149,102.416,101.757,103.447,102.915,102.752,107.702,104.832,104.488,105.666,101.771,102.847,106.815,105.253,101.357,106.017,106.374,105.230,106.764,103.830,92.583,42.517,82.988,54.417,63.642,102.121,34.596,31.246,65.896,40.354,83.317,183.204,98.308,85.813,120.433,33.721,56.346,49.146,52.733,50.688,91.450,28.254,40.596,119.279,82.825,39.635,42.630,41.849,33.874,29.560,22.885,54.065,58.288,28.770,45.865,25.125,39.337,19.187,21.772,39.652,53.800,31.909,48.944,0.000,0.000,28.276,0.000,0.000,31.886,6.454,14.511,19.898,16.113,15.880,17.074,16.488,17.771,18.953,15.985,15.242,15.739,12.977,14.482,14.945,13.505,18.261,17.576,18.414,18.532,16.695,14.935,17.953,17.989,14.633,16.329
6/26,104.271,99.323,104.773,103.212,100.895,107.557,101.777,103.146,103.358,102.631,102.375,108.285,104.183,104.124,105.543,101.877,103.733,107.381,104.786,104.539,107.548,107.256,108.893,104.902,101.712,88.679,40.208,77.600,53.508,60.979,90.613,34.983,30.913,65.875,48.288,83.096,173.050,90.938,84.992,112.825,31.363,57.863,43.813,44.217,47.700,83.308,30.842,41.629,120.542,90.329,41.080,43.679,49.769,34.192,30.919,20.164,53.585,58.903,28.495,38.304,44.948,36.386,32.930,22.071,36.079,56.238,31.353,62.796,0.000,0.000,9.773,0.000,0.000,37.255,0.000,14.710,19.554,16.882,16.017,17.332,16.582,18.148,19.077,16.342,15.603,16.150,13.005,15.363,15.625,13.804,18.531,17.958,18.628,19.060,17.287,15.586,18.902,18.873,14.754,16.217
6/27,104.969,100.982,104.286,102.943,101.776,106.662,101.265,104.522,102.804,101.925,101.801,108.865,103.561,103.061,104.767,100.974,104.320,106.417,104.110,105.040,107.298,104.599,109.593,104.697,101.581,81.688,37.621,75.621,51.333,60.838,83.192,36.850,32.817,65.617,45.713,85.954,163.938,86.225,80.721,101.713,30.867,57.754,42.821,43.750,42.296,85.533,23.775,45.425,105.167,100.633,21.336,47.802,57.799,36.193,30.916,21.942,50.905,55.231,28.353,40.443,29.541,32.698,24.316,23.244,34.058,59.220,31.109,50.044,0.000,0.000,31.014,0.000,0.000,26.723,0.000,14.805,19.238,17.144,16.190,17.683,16.891,18.433,19.067,16.537,15.758,16.324,13.292,15.807,16.145,14.050,18.588,18.485,18.938,19.333,17.330,15.676,19.218,19.289,14.717,16.183
6/28,105.079,102.891,104.113,103.114,101.811,105.618,101.044,105.834,101.886,100.756,101.493,109.042,103.440,103.196,104.593,100.057,103.903,104.741,104.616,107.209,106.519,102.221,111.226,105.708,102.653,86.233,40.383,70.821,47.817,57.579,82.775,43.571,36.421,77.329,44.308,75.421,159.188,81.038,84.421,100.317,32.771,52.871,47.754,43.554,41.679,83.579,25.838,42.867,99.300,99.038,26.034,44.501,65.264,39.674,33.128,21.977,43.043,49.720,39.900,41.894,26.783,30.567,23.621,22.176,29.623,55.334,34.179,39.168,0.000,0.000,43.537,0.000,0.000,22.713,0.000,15.048,19.393,17.506,16.515,17.697,17.273,18.681,19.031,16.436,15.641,16.226,13.510,15.793,16.658,14.495,18.477,18.869,18.941,19.779,17.800,16.263,19.353,20.116,14.892,15.904
6/29,104.182,104.275,102.822,102.323,101.216,103.845,102.192,106.618,100.922,100.730,101.971,107.598,103.851,103.484,105.155,99.620,104.034,102.484,110.418,111.440,105.109,101.739,108.195,105.954,104.728,83.950,38.121,70.667,44.154,50.725,84.221,42.383,34.383,78.875,47.396,65.992,161.579,81.592,77.754,103.679,35.983,55.183,59.933,39.021,38.367,82.858,27.875,38.746,86.933,88.808,23.352,46.912,43.025,42.880,37.334,21.832,42.145,52.436,34.543,42.673,35.604,31.680,23.951,24.211,17.655,50.660,32.626,55.082,0.000,0.000,25.475,0.000,0.000,11.364,0.000,15.609,19.385,17.858,16.821,17.865,17.703,19.090,18.841,16.161,15.660,15.643,13.938,15.946,17.338,14.909,18.317,19.485,19.190,21.187,19.681,16.714,19.198,19.844,15.175,16.188
6/30,103.430,105.461,101.387,101.508,101.043,104.201,102.282,105.071,100.990,101.803,103.698,105.716,103.206,103.621,105.325,100.654,103.831,104.428,107.766,106.077,103.120,102.196,108.665,106.390,105.791,77.114,34.113,79.175,45.500,46.033,78.133,42.733,30.829,71.863,48.513,63.783,171.538,79.921,75.333,106.438,36.871,52.208,55.467,37.688,39.250,79.700,22.904,41.079,85.971,84.571,23.131,52.425,38.833,41.566,37.934,23.459,41.644,58.400,25.929,38.014,45.146,42.420,26.902,24.773,19.769,49.305,34.773,72.085,0.000,0.000,24.833,0.000,0.000,10.643,0.000,16.209,19.492,17.659,16.888,18.034,18.116,19.480,18.224,15.401,16.293,15.883,14.317,16.526,17.675,15.329,18.666,19.792,20.057,21.086,18.584,16.903,19.103,20.206,15.638,16.683
7/1,103.178,104.984,100.526,102.440,100.374,104.561,102.065,103.105,102.619,104.421,103.124,105.991,103.581,103.391,104.699,101.906,102.756,101.628,109.899,104.116,102.538,101.106,105.329,106.046,105.815,71.179,36.396,76.167,40.721,43.717,75.138,42.454,30.883,68.104,47.321,61.725,168.858,76.771,71.929,105.033,33.317,46.258,51.892,42.396,39.108,69.158,24.188,35.883,83.029,77.596,25.025,48.930,43.561,46.311,40.116,24.211,41.692,58.851,27.274,39.033,60.639,45.830,27.615,25.870,22.477,54.240,39.074,48.515,0.000,0.000,52.555,0.000,0.000,9.098,5.733,16.403,19.258,16.475,17.055,18.071,18.295,19.570,18.243,14.873,17.956,16.348,14.063,17.129,18.020,15.728,18.922,19.921,18.996,21.982,18.371,16.813,19.075,19.704,15.796,17.138
7/2,103.729,104.146,101.084,103.767,100.169,104.919,102.836,103.476,103.676,104.539,103.026,108.196,102.750,103.272,104.594,100.984,100.626,102.398,105.776,103.698,104.207,109.887,103.441,105.643,106.413,66.163,35.450,74.592,42.146,40.875,71.363,43.133,28.783,65.721,52.033,62.367,151.871,72.446,69.575,101.908,31.300,45.017,45.058,40.821,36.221,59.483,24.338,34.250,78.404,78.175,27.162,50.411,42.721,44.627,42.915,25.620,41.422,56.022,28.168,38.061,50.334,28.031,26.221,26.919,17.978,57.508,39.883,64.934,0.000,0.000,34.449,0.000,0.000,2.450,0.052,16.484,18.873,15.198,17.566,18.186,18.309,19.596,18.424,15.075,18.938,16.868,13.907,17.339,18.482,15.853,18.998,19.360,18.870,21.151,18.817,16.961,20.514,19.683,16.050,18.288
7/3,103.617,103.998,101.683,104.053,100.352,104.442,102.973,104.329,103.418,103.386,102.034,108.207,102.084,102.826,105.245,99.652,101.935,104.363,102.450,103.498,104.919,112.285,102.594,104.367,104.313,61.917,31.100,68.029,39.004,41.879,69.717,40.279,24.513,64.629,47.063,61.575,145.646,62.871,68.750,97.042,31.538,46.000,40.842,44.271,36.625,53.713,25.696,35.308,68.513,79.363,29.341,39.871,36.596,48.211,41.986,26.381,44.274,48.547,38.895,42.709,41.413,26.254,29.843,27.412,18.901,57.115,39.547,53.081,0.000,0.000,26.604,0.000,0.000,0.000,0.093,16.578,19.256,14.387,18.200,18.199,18.468,19.559,18.966,15.493,19.382,17.077,14.284,17.222,18.756,15.714,19.125,19.063,19.015,20.279,19.290,16.371,22.000,19.760,16.179,18.371
7/4,102.935,103.539,101.904,104.293,101.485,104.118,102.566,104.740,103.182,102.863,101.322,106.562,101.686,102.675,105.238,100.923,104.194,110.384,101.398,102.231,105.010,111.260,101.529,103.305,103.000,60.342,29.750,59.171,40.896,42.579,66.300,43.029,22.929,62.813,43.396,60.529,142.121,60.517,69.013,88.396,32.767,44.117,41.054,37.408,34.883,52.458,26.446,34.446,64.863,84.692,29.761,43.978,31.456,46.021,41.198,27.690,41.067,44.721,29.685,41.738,40.655,24.445,31.066,27.247,20.683,54.743,40.489,44.616,0.000,0.000,38.832,0.000,0.000,0.000,0.126,16.742,19.278,14.350,18.724,18.347,18.841,19.600,18.849,16.277,19.532,17.236,14.763,16.901,18.981,15.728,19.574,19.843,20.301,20.029,19.635,16.559,22.064,19.735,16.117,18.875
7/5,102.346,102.633,102.826,104.079,100.933,104.904,102.263,104.535,102.083,103.202,101.531,106.034,101.139,103.011,103.876,102.329,104.838,111.593,103.983,101.707,105.223,106.319,102.010,104.150,101.898,58.058,26.629,54.879,41.233,37.896,65.429,33.958,22.938,58.704,40.533,51.100,141.725,58.550,68.158,81.117,32.775,45.892,42.063,36.000,34.550,46.117,25.283,35.892,60.400,80.658,31.046,41.214,34.128,45.655,46.388,28.084,51.742,44.087,31.684,46.896,42.303,31.525,31.953,27.583,22.601,54.450,39.423,70.282,0.000,0.000,0.000,0.000,0.000,0.000,0.174,16.951,19.258,15.145,19.126,18.300,19.147,19.598,19.225,17.054,19.630,17.210,15.137,16.885,19.193,16.106,19.913,20.557,20.582,20.563,19.729,16.913,21.542,19.717,16.675,19.183
7/6,101.778,102.432,103.185,101.951,99.346,104.119,101.753,104.079,101.487,103.605,100.756,106.597,101.101,102.270,102.749,102.242,102.718,105.193,105.603,102.564,105.421,105.798,101.125,105.779,101.370,58.279,28.654,55.917,43.100,42.404,62.642,32.163,24.629,58.217,36.463,48.408,138.883,56.529,62.654,73.221,35.988,46.554,44.396,36.558,29.067,40.254,29.379,38.583,59.254,73.271,31.193,39.494,33.271,43.561,41.574,29.613,55.422,48.181,31.921,51.217,38.406,33.781,33.051,29.733,24.839,50.318,39.023,49.320,0.000,0.000,0.000,0.000,0.000,0.000,0.237,16.996,19.251,16.003,19.341,18.043,19.304,19.322,19.980,17.671,19.722,17.403,15.426,16.842,19.149,16.327,19.960,20.533,19.460,21.179,19.954,17.685,21.565,19.541,16.754,19.096
7/7,101.763,102.693,102.790,100.898,99.815,103.941,101.990,104.068,101.007,103.116,100.922,107.143,101.835,101.498,101.712,100.297,100.808,104.596,101.271,104.096,106.415,107.952,103.128,103.464,103.418,52.983,27.833,52.404,44.933,42.754,63.325,35.021,24.929,59.558,37.329,52.213,132.163,56.617,62.192,66.817,34.467,46.904,48.896,36.938,33.421,39.413,25.400,39.158,55.446,69.429,34.170,35.853,35.390,41.858,41.156,29.596,50.553,48.320,31.202,50.061,35.273,30.250,32.889,30.149,27.444,52.950,38.421,66.527,0.000,0.000,0.000,0.000,0.000,0.000,0.297,16.948,19.506,16.588,19.363,17.880,19.409,19.169,20.545,17.883,19.647,17.538,15.663,16.845,19.121,16.353,19.499,20.654,19.505,19.843,20.125,18.617,22.409,19.998,15.996,20.388
7/8,102.488,102.230,102.346,101.369,101.258,104.169,101.569,104.031,102.200,101.797,101.941,105.692,102.231,101.010,102.224,101.921,99.960,103.925,101.206,104.155,102.971,107.570,104.540,103.407,103.656,51.829,25.204,54.542,43.263,42.821,59.433,32.233,27.479,56.500,37.667,47.192,123.054,57.350,63.279,67.646,40.813,48.338,44.108,37.108,36.075,38.063,27.854,37.733,54.246,64.496,35.019,39.362,34.087,43.504,40.994,31.408,54.498,52.889,32.817,49.558,38.919,27.857,32.592,29.407,27.200,44.043,36.842,73.097,0.000,0.000,0.000,0.000,0.000,0.000,0.372,17.200,19.551,17.406,19.513,18.110,19.669,19.085,20.906,18.308,19.383,17.908,15.808,16.926,19.093,16.645,19.388,20.397,19.685,20.004,20.556,18.084,22.466,20.238,16.329,20.396
7/9,102.837,101.936,102.167,100.971,101.870,104.463,102.196,103.041,102.745,101.333,102.787,104.804,103.001,100.411,102.750,103.364,100.663,105.366,103.529,104.315,106.696,105.848,102.899,105.407,105.358,53.679,27.625,56.758,40.171,41.208,57.488,32.358,27.971,55.950,37.725,45.775,114.792,52.146,55.942,63.313,34.638,46.908,41.767,38.529,35.992,42.900,25.642,43.829,58.717,63.375,32.780,41.735,32.778,46.914,42.649,32.435,54.623,53.791,33.110,49.591,40.197,23.466,35.821,33.160,29.069,52.123,38.541,52.005,0.000,0.000,30.216,0.000,0.000,0.000,0.430,17.735,19.823,17.988,19.385,18.436,19.867,19.000,20.872,18.603,19.396,18.603,15.708,16.987,18.994,17.089,19.410,19.750,20.095,20.471,20.912,18.997,22.403,19.519,18.013,21.142
7/10,102.188,102.353,101.439,100.803,100.450,103.861,101.879,101.981,102.588,102.147,102.770,105.313,103.600,100.408,102.308,103.370,102.063,105.755,99.957,106.752,105.723,109.039,103.487,104.923,104.792,47.821,26.425,58.142,42.225,44.904,55.617,31.063,31.838,52.954,35.629,50.246,106.779,55.096,58.371,62.692,39.896,46.029,32.525,33.663,35.296,40.596,25.696,42.383,55.438,62.971,37.545,32.324,32.055,44.750,39.157,33.428,56.740,56.014,35.022,51.772,42.035,25.512,33.880,31.794,29.071,45.044,38.925,56.252,0.000,0.000,18.803,0.000,0.000,0.000,0.486,18.005,20.222,18.331,19.012,18.387,19.997,18.848,20.832,18.588,19.570,19.169,15.683,17.215,18.735,17.304,19.423,19.174,20.315,19.385,21.745,19.405,23.601,19.316,18.538,21.321
7/11,103.299,101.858,102.134,100.892,102.442,103.593,101.392,101.394,103.510,101.992,102.294,105.618,103.500,102.093,100.622,103.151,103.270,107.885,100.105,106.579,106.911,107.867,105.394,105.375,102.127,47.029,24.833,55.417,45.288,43.092,56.383,33.342,30.596,52.708,36.463,55.938,97.458,53.067,53.588,56.833,32.625,48.554,37.908,35.404,35.804,43.292,25.971,42.471,53.254,65.596,37.689,39.799,33.617,41.513,40.766,32.730,53.412,57.511,35.233,50.349,41.922,21.796,35.113,34.406,32.588,54.547,37.407,64.652,0.000,0.000,25.120,0.000,0.000,0.000,0.517,18.715,20.010,18.584,18.541,18.790,20.260,18.648,20.645,18.822,19.398,19.414,15.650,17.676,18.596,17.720,19.003,19.205,20.473,19.290,21.567,19.982,24.264,19.634,18.833,20.908
7/12,103.628,101.316,102.100,101.220,103.144,102.955,101.087,101.371,102.525,101.295,101.407,104.994,103.145,102.704,101.251,103.106,102.981,105.447,107.139,103.700,107.988,107.374,106.707,106.156,101.209,45.900,28.450,53.442,41.975,43.388,50.588,37.746,29.967,50.829,32.492,50.992,93.696,47.213,50.813,51.183,34.654,47.329,40.350,37.075,37.954,43.646,27.833,44.658,54.138,67.375,38.762,32.982,34.672,44.908,40.709,36.331,46.572,56.452,36.413,56.797,39.990,19.771,39.529,36.687,35.998,51.172,38.252,70.394,0.000,0.000,62.024,0.000,0.000,0.000,0.552,18.970,19.719,18.187,18.401,19.021,20.225,18.571,20.043,18.820,19.212,19.328,15.825,18.084,18.640,18.010,19.041,19.220,19.949,20.741,20.906,20.186,23.875,19.746,19.292,20.988
7/13,102.740,100.960,102.574,101.701,103.267,102.245,99.112,101.215,102.268,101.155,101.752,104.472,101.503,101.020,100.459,103.191,102.049,101.123,105.774,101.512,112.815,107.257,105.216,106.029,100.456,44.838,25.650,52.367,42.300,41.588,51.042,35.833,33.488,48.733,32.304,49.121,93.308,48.663,49.063,46.658,33.221,45.042,38.213,40.004,35.088,41.683,26.846,45.692,51.125,61.517,40.517,38.532,35.487,44.671,42.661,35.486,49.105,49.820,37.859,56.249,45.644,19.921,38.479,38.395,39.480,53.455,40.352,49.766,0.000,0.000,26.389,0.000,0.000,0.000,0.659,18.765,19.287,18.310,18.508,19.126,20.163,18.121,19.233,18.683,19.293,19.260,16.158,18.297,18.493,18.092,19.163,19.489,19.539,20.635,20.311,21.703,24.898,19.090,19.467,20.775
7/14,102.595,101.621,102.573,101.575,103.118,101.748,99.159,101.118,102.936,101.312,102.837,103.708,100.709,101.430,99.754,102.998,101.233,107.564,107.092,104.273,108.536,105.126,105.152,104.588,100.925,44.542,24.346,46.133,39.425,39.967,50.646,35.133,26.975,45.367,27.896,41.142,90.254,42.954,49.513,50.025,33.538,40.721,41.029,40.483,33.471,38.679,26.925,43.404,53.825,63.738,41.768,46.774,40.390,47.707,44.485,35.804,50.569,30.553,40.549,53.712,46.729,20.604,43.409,37.634,36.882,53.125,44.081,66.508,0.000,0.000,0.000,0.000,0.000,0.000,0.688,18.530,19.121,18.492,18.503,19.024,20.061,17.608,18.661,18.666,19.213,19.469,16.588,18.530,18.399,17.878,18.903,19.465,20.302,21.181,20.819,20.172,22.914,19.070,19.533,20.821
7/15,103.252,102.078,101.830,102.078,103.392,102.727,100.778,101.787,102.949,101.192,103.044,103.019,100.978,101.820,100.322,103.443,100.686,111.340,107.505,105.875,108.297,102.476,106.187,103.965,100.872,45.008,26.617,48.100,38.313,38.504,49.963,37.471,25.592,43.154,31.213,42.192,89.663,52.113,53.858,48.342,36.163,42.483,33.321,37.704,23.592,37.179,24.079,41.971,53.100,62.508,41.557,39.652,39.059,48.929,46.066,36.369,47.137,26.685,42.937,69.604,62.117,20.628,35.900,34.868,38.037,49.337,42.811,53.120,0.000,18.969,34.618,0.000,0.000,0.000,0.755,18.693,18.780,18.518,18.806,18.916,19.984,17.248,18.192,18.707,19.052,19.698,16.655,18.543,18.195,17.712,19.054,19.343,21.143,20.941,21.623,20.398,21.231,19.638,19.946,20.371
7/16,102.761,101.995,101.816,102.701,104.761,102.394,101.585,102.577,103.345,102.252,102.388,103.379,99.881,100.986,101.061,103.274,100.483,107.683,105.802,103.681,107.719,102.775,109.368,103.542,102.627,43.692,24.633,46.771,38.088,39.071,47.117,33.563,26.558,41.458,32.833,46.813,86.942,48.096,48.888,45.683,31.967,39.083,37.767,37.600,40.963,36.983,24.904,40.404,53.358,58.563,41.713,28.332,40.018,49.294,45.420,38.194,52.564,30.107,44.724,70.254,47.690,23.483,38.846,38.302,40.505,55.644,46.727,50.088,0.000,0.000,17.023,0.000,0.000,0.000,3.454,18.905,19.037,18.408,19.240,19.556,19.998,17.343,18.071,18.752,18.815,19.674,16.426,18.282,18.116,17.806,18.890,19.351,20.210,19.685,20.783,20.649,21.048,20.444,20.096,20.571
